Client ,URL ,Location ,Telefoo,Directora ,Day of contact ,Visto Video? ,Follw up 1,Link Demo Generado,Color Extraido
,https://www.imassaludcapilar.com/,Sevilla,,,,,,https://demos.agentminds.io/demo/imassaludcapilar?site=https://www.imassaludcapilar.com/&color=047573&voice=elevenlabs,#047573
,https://www.implantecapilarpivaz.es/,Sevilla,,,,,,https://demos.agentminds.io/demo/implantecapilarpivaz?site=https://www.implantecapilarpivaz.es/&color=154563&voice=elevenlabs,#154563
,https://zerescapilar.es/equipo,Sevilla,,,,,,https://demos.agentminds.io/demo/zerescapilar?site=https://zerescapilar.es/equipo&color=915A3E&voice=elevenlabs,#915A3E
,https://clinicazafiro.es/,Sevilla,,,,,,https://demos.agentminds.io/demo/clinicazafiro?site=https://clinicazafiro.es/&color=313746&voice=elevenlabs,#313746
,https://injertocapilarfrontela.com/,Sevilla,,,,,,https://demos.agentminds.io/demo/injertocapilarfrontela?site=https://injertocapilarfrontela.com/&color=0C344A&voice=elevenlabs,#0C344A
,https://capilarix.es/,Malaga,,,,,,https://demos.agentminds.io/demo/capilarix?site=https://capilarix.es/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://injertocapilarfuesevilla.com/,Sevilla,,,,,,https://demos.agentminds.io/demo/injertocapilarfuesevilla?site=https://injertocapilarfuesevilla.com/&color=040404&voice=elevenlabs,#040404
,https://clinicadoctorloza.es/equipo/,Sevilla,,,,,,https://demos.agentminds.io/demo/clinicadoctorloza?site=https://clinicadoctorloza.es/equipo/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://injertocapilarpremiumsevilla.com/,Sevilla,,,,,,https://demos.agentminds.io/demo/injertocapilarpremiumsevilla?site=https://injertocapilarpremiumsevilla.com/&color=1a4b8c&voice=elevenlabs,#1a4b8c
,https://drpelo.es/injerto-capilar-sevilla/,Sevilla,,,,,,https://demos.agentminds.io/demo/drpelo?site=https://drpelo.es/injerto-capilar-sevilla/&color=C0030A&voice=elevenlabs,#C0030A
